cell,easting_mean,northing_mean,cluster,years_available,log_traffic_mean,log_traffic_max,traffic_year_cv,point_cv_mean,log_link_length_km,log_count_points,road_category_n,year_coverage_frac,traffic_trend_pct_per_year
6594,346485.0,825700.0,0,10,6.490495890991261,7.148345743900068,0.05062708771025229,1.1510356903497532,2.9806186357439426,1.0986122886681098,1,1.0,-0.0012206890674628294
6595,352920.0,825260.0,0,10,6.7566998040621815,7.363913501405819,0.11414743136820202,0.9230697729286639,1.840549633397487,1.0986122886681098,2,1.0,0.0365555884885177
6596,366117.0,826950.45,0,10,8.461321008849605,9.021235862885396,0.06070099539796042,0.7824086653924035,2.2925347571405443,1.0986122886681098,2,1.0,0.01634093136642123
6597,373757.8,822872.65,0,10,9.510807861534362,9.86110183603969,0.045274680494105796,0.5091355674337736,2.5952547069568657,1.0986122886681098,1,1.0,0.011207536677956329
6598,383932.8,824721.6,0,10,8.468153496116502,9.160834952072344,0.024262867420836862,0.6988033335975252,2.9796028916241073,1.824549292051046,3,1.0,0.0049544583918127655
6599,395653.3333333333,825346.6666666666,0,10,8.972527246677537,9.77820773610937,0.03290536248377827,0.9640368150933654,3.339321977944068,1.3862943611198906,2,1.0,0.007349101545105371
6600,400000.0,825590.0,0,10,7.936517185749166,8.161375023197486,0.19940308490099645,0.0,1.8870696490323797,0.6931471805599453,1,1.0,-0.05319879767423199
6647,75500.0,830000.0,0,10,6.736492349544916,6.807934943699926,0.04457936749295672,0.0,3.039749158970765,0.6931471805599453,1,1.0,0.013754464800091987
6654,141000.0,832045.0,0,10,6.779751438397771,7.136483208590247,0.034521104990051774,0.49107836608290334,3.0204248861443626,1.0986122886681098,1,1.0,0.006982265046780934
6659,190000.0,838330.0,0,10,7.338855644682132,7.633369649679584,0.08401113808414351,0.2740898737857153,3.3843902633457743,1.0986122886681098,1,1.0,0.025498326678469192
6663,236490.0,834000.0,1,10,6.303717273493968,6.48768401848461,0.20342868456796737,0.0,3.299533727885655,0.6931471805599453,1,1.0,0.06085043988269747
6664,246650.0,830480.0,0,10,7.363438103250919,7.8628820346414905,0.1383466000502731,0.6699845990288608,3.044522437723423,1.0986122886681098,1,1.0,0.041869608055174735
6665,251440.0,839800.0,0,10,6.9954913932862235,7.077498053569231,0.047454012244347935,0.0,2.954910279033736,0.6931471805599453,1,1.0,0.013208087105583872
6666,260000.0,838400.0,0,10,8.446169688162861,8.800415333145924,0.15287952689997136,0.0,3.109060958860994,0.6931471805599453,1,1.0,0.0323062244801
6667,275000.0,834740.0,0,10,9.235364636880918,9.301003406873425,0.053454126743528306,0.0,3.3068867021909143,0.6931471805599453,1,1.0,0.01049037446368828
6669,298000.0,839710.0,0,10,5.939118066735773,6.0014148779611505,0.043136007367915896,0.0,1.5040773967762742,0.6931471805599453,1,1.0,0.013478685427972073
6670,300530.0,838900.0,0,10,6.358621858561096,6.814542897259958,0.07093486390297787,0.5780513045937216,0.4054651081081644,1.0986122886681098,1,1.0,0.016553776116617035
6671,318000.0,836000.0,1,10,7.88912188759248,8.496786381638575,0.29656110834116717,0.0,1.4816045409242156,0.6931471805599453,1,1.0,0.05994253206581188
6673,333600.0,838280.0,0,10,6.974104659523671,7.7057128238944275,0.06490143099334489,1.079778717987004,3.054001181677967,1.0986122886681098,1,1.0,-0.004842353849473252
6675,352914.0,838562.0,0,10,8.603224087891906,9.35979432514452,0.04051237294684745,0.7164691907710417,2.617395832834079,1.791759469228055,2,1.0,0.0033759273287923964
6676,363300.0,834360.0,0,10,8.976274892961415,9.059052257762401,0.04570735344266087,0.0,2.7013612129514133,0.6931471805599453,1,1.0,0.01361857346994014
6677,373898.6666666667,833034.6666666666,0,10,8.14045158532719,8.630878955820053,0.09177881578869403,0.4472235349009656,3.458207636378935,1.3862943611198906,2,1.0,0.026489379624949454
6679,396770.9333333333,830375.6416666666,0,10,9.093469420244768,9.533944453604027,0.05144221031514627,0.17682789260928697,1.8164520818184267,1.4586150226995167,2,1.0,0.0012158455054133925
6680,402695.0,836147.5,0,10,8.77688079991106,9.586170674954657,0.11715772378200688,0.7315295882145659,3.4787755163075302,1.6094379124341003,3,1.0,0.026219341506788573
6681,410570.15,837892.15,1,10,7.680822082717956,9.164505835632383,0.5761695795884995,0.09496565346212052,2.8112082932048366,0.7419373447293773,2,1.0,0.10271179514737298
6727,79900.0,846600.0,0,10,7.394370174033069,7.506042178518122,0.09369445584395758,0.0,2.451005098112319,0.6931471805599453,1,1.0,0.029635759737863015
6732,126250.0,847287.5,0,10,6.909803180599437,7.446585099157725,0.11643821535525295,0.255528310089486,2.0918640616783932,1.6094379124341003,1,1.0,-0.014787503424435718
6733,131700.0,840630.0,0,10,6.597691255637225,6.709304340258298,0.09081123648470164,0.0,2.6390573296152584,0.6931471805599453,1,1.0,0.02720818231468092
6734,146783.33333333334,843300.0,0,10,7.9452956235779055,8.20303024171486,0.0675222573627503,0.23623589294064926,3.0819099697950434,1.3862943611198906,1,1.0,0.004441016894051967
6738,183760.0,842100.0,0,10,6.582440565056801,6.648984550024776,0.039278481314974766,0.0,3.169685580677429,0.6931471805599453,1,1.0,0.010158426074133581
6745,254275.0,846667.5,0,10,8.470730317005897,8.855235623206967,0.06993607845131801,0.2459874441911621,3.086486636822455,1.6094379124341003,1,1.0,0.022298635982625624
6746,265448.9090909091,846241.0181818182,0,10,9.878745802374889,10.56429231017482,0.0232343352694535,0.5680765678692757,3.1822118404966093,2.4849066497880004,4,1.0,-0.0003266209425584388
6747,270886.6666666667,845120.0,0,10,9.377458044361196,9.829518032335953,0.0782006466484654,0.3014581503739916,2.8154087194227095,1.3862943611198906,2,1.0,0.020167261636441086
6749,296500.0,844350.0,1,10,6.961106454479132,7.504942068396171,0.25090944697718226,0.5810548424973344,3.005682604407159,1.0986122886681098,1,1.0,0.06453987588927908
6752,326797.52,844251.4800000001,0,10,7.961202823695855,8.836664586357426,0.16623664890172749,0.7673258142731947,3.0587070727153796,1.791759469228055,4,1.0,0.03809074375475378
6753,333283.3333333333,843100.0,0,10,7.498149651967252,8.240648863374913,0.10223186005649967,0.7570966192203646,3.242592351485517,1.3862943611198906,2,1.0,0.0323162881237946
6754,345980.0,844503.3333333334,0,10,8.535072401503474,8.970813341411448,0.08862186938245714,0.6587248974125195,3.391147045808654,1.3862943611198906,2,1.0,0.02877473945618226
6755,353486.25,840586.25,0,10,8.173512032844354,9.058004710672485,0.051794247424239916,0.9088147646329652,2.4932054526026954,1.6094379124341003,3,1.0,0.01106665102264285
6756,360435.0,848200.0,1,10,7.83727807962501,7.99598047476376,0.17939641110682983,0.0,1.6486586255873816,1.0986122886681098,1,1.0,0.05118595025004262
6757,374800.0,845800.0,0,10,8.6447417223629,8.728749873478527,0.05156527772556678,0.0,2.7536607123542622,0.6931471805599453,1,1.0,0.01591773489223815
6758,388910.9,847167.2333333332,0,10,7.575242712761504,7.953669778649798,0.05874054940766732,0.3390540654571303,1.9600947840472698,1.3862943611198906,2,1.0,0.012873992275189932
6759,392360.0,844840.0,0,10,7.394815734947849,7.77779262633883,0.08014334110900506,0.3256350995593627,3.4691675081014224,1.6094379124341003,1,1.0,0.025215497064991814
6761,411294.25,845632.875,0,10,8.913372916063226,9.303375237943373,0.025332465407999456,0.2537391518485416,3.436242723404956,2.2925347571405443,2,1.0,0.0018490194284696082
6808,80650.0,853025.0,0,10,7.111512116496157,7.2399325913204695,0.06377252600727894,0.07444880169898414,3.068052935133617,1.0986122886681098,1,1.0,0.0057588126159548916
6812,127700.0,850000.0,0,10,7.010672812988823,7.277247726631484,0.24450796955334078,0.0,1.33500106673234,0.6931471805599453,1,1.0,-0.06444798353774316
6813,134480.0,851100.0,0,10,7.128656317743567,7.198183577101943,0.04048375555767514,0.0,3.1484533605716547,0.6931471805599453,1,1.0,0.011185519129669141
6814,141380.0,852800.0,0,10,7.233094342611016,7.309212365692763,0.04218802534510699,0.0,2.9652730660692823,0.6931471805599453,1,1.0,0.01066684189199527
6815,151270.0,856200.0,0,10,6.773880970425809,6.81783057145415,0.028072400170524446,0.0,3.4339872044851463,0.6931471805599453,1,1.0,0.005334332219990708
